sign	id	agew	heightw	weightw	want_dietw	durationw	waistw	bmiw	recnetw	agew_n	heightw_n	weightw_n	want_dietw_n	durationw_n	waistw_n	bmiw_n	recnetw_n	ableage	sex	married_r	purable	add0	add1	add2	d1	d2	d3	d4	lp1	lp2	lp3	lp4	lp5	lp6	lp7	lp8	lp9	diet_pur1	diet_pur2	diet_pur3	diet_pur4	diet_pur5	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	PG01																																																																																																																																																										
0	yrudal	19	164	66	52	368	30	24.5389649	3	0.111111111	0.555555556	0.633333333	0.36	0.923273657	0.625	0.516380039	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0																																																																																																																																																										
0	wntjsl2	19	160	57	53	23	28	22.265625	23	0.111111111	0.333333333	0.333333333	0.4	0.040920716	0.375	0.377712803	0.227272727	0	1	1	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0																																																																																																																																																										
0	girl1212	23	158	56	50	284	26	22.43230252	6	0.333333333	0.222222222	0.3	0.28	0.708439898	0.125	0.387879655	0.034090909	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0																																																																																																																																																										
0	solim777	27	154	53	48	130	26	22.34778209	35	0.555555556	0	0.2	0.2	0.314578005	0.125	0.38272415	0.363636364	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0																																																																																																																																																										
0	cho373	20	161	58	54	94	28	22.37567995	76	0.166666667	0.388888889	0.366666667	0.44	0.222506394	0.375	0.38442584	0.829545455	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0																																																																																																																																																										
0	whitty0618	19	165	58	52	7	29	21.30394858	4	0.111111111	0.611111111	0.366666667	0.36	0	0.5	0.319053289	0.011363636	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0																																																																																																																																																										
0	ziyuneu	29	160	55.5	48	132	28.24596758	21.6796875	3	0.666666667	0.333333333	0.283333333	0.2	0.319693095	0.405745947	0.34197229	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0																																																																																																																																																										
0	thounme	32	154	56	50	202	28	23.61275089	29	0.833333333	0	0.3	0.28	0.498721228	0.375	0.459883631	0.295454545	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0																																																																																																																																																										
0	yyy81	20	170	61	55	193	28	21.10726644	63	0.166666667	0.888888889	0.466666667	0.48	0.475703325	0.375	0.307056241	0.681818182	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	yys00	32	159	57	52	33	27	22.54657648	33	0.833333333	0.277777778	0.333333333	0.36	0.066496164	0.25	0.39485004	0.340909091	1	1	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
