sign	obj_n	bmi_n	len_pur_n	add1	gender	pur1	loss4	loss7	PG01
T	0.020000 	0.333333 	0.102041 	0	1	0	1	1	1
T	0.080000 	0.291667 	0.163265 	0	1	0	0	0	1
T	0.200000 	0.416667 	0.408163 	0	1	0	0	1	1
T	0.120000 	0.333333 	0.561224 	0	1	0	0	1	1
T	0.000000 	0.333333 	0.132653 	0	1	0	1	0	1
T	0.080000 	0.291667 	0.775510 	0	1	0	1	1	1
T	0.080000 	0.333333 	0.173469 	0	1	0	0	1	1
T	0.280000 	0.375000 	0.418367 	0	1	0	0	1	1
T	0.080000 	0.416667 	0.122449 	0	1	0	0	1	1
T	0.080000 	0.500000 	0.081633 	0	1	0	0	1	1
T	0.080000 	0.541667 	0.285714 	1	1	0	0	1	1
T	0.080000 	0.291667 	0.051020 	0	1	0	1	1	1
T	0.160000 	0.333333 	0.326531 	0	1	0	1	1	1
T	0.040000 	0.333333 	0.010204 	0	0	0	0	1	1
T	0.120000 	0.250000 	0.357143 	0	1	0	0	1	1
T	0.080000 	0.375000 	0.163265 	1	1	1	1	1	1
T	0.080000 	0.208333 	0.918367 	0	1	0	0	1	1
T	0.120000 	0.333333 	0.244898 	0	1	0	0	0	1
T	0.120000 	0.375000 	0.204082 	0	1	0	1	1	1
T	0.060000 	0.416667 	0.204082 	0	1	0	1	0	1
T	0.080000 	0.291667 	0.224490 	0	1	0	0	1	1
T	0.060000 	0.416667 	0.653061 	1	1	1	1	1	1
T	0.060000 	0.291667 	0.183673 	0	1	0	0	1	1
T	0.060000 	0.375000 	0.122449 	0	1	0	0	1	1
T	0.020000 	0.916667 	0.234694 	1	1	0	1	1	1
T	0.080000 	0.333333 	0.030612 	0	1	0	1	1	1
T	0.080000 	0.333333 	0.153061 	0	1	0	0	1	1
T	0.080000 	0.250000 	0.081633 	1	1	0	0	0	1
T	0.180000 	0.375000 	0.581633 	0	1	0	0	1	1
T	0.080000 	0.291667 	0.234694 	0	1	0	0	0	1
T	0.080000 	0.250000 	0.071429 	0	1	0	1	0	1
T	0.120000 	0.333333 	0.000000 	1	1	0	0	1	1
T	0.080000 	0.333333 	0.153061 	0	1	0	0	0	1
T	0.080000 	0.333333 	0.030612 	1	1	0	0	1	1
T	0.080000 	0.583333 	0.234694 	0	1	0	1	0	1
T	0.140000 	0.458333 	0.265306 	0	0	0	0	0	1
T	0.080000 	0.291667 	0.183673 	0	1	0	1	0	1
T	0.080000 	0.333333 	0.040816 	0	1	1	1	1	1
T	0.120000 	0.500000 	0.112245 	0	1	0	1	0	1
T	0.080000 	0.333333 	0.081633 	0	1	0	1	1	1
T	0.080000 	0.416667 	0.081633 	1	1	0	0	0	1
T	0.080000 	0.375000 	0.010204 	1	1	0	0	1	1
T	0.020000 	0.166667 	0.061224 	0	1	0	1	0	1
T	0.060000 	0.500000 	0.204082 	0	1	0	1	1	1
T	0.080000 	0.333333 	0.000000 	0	1	0	1	1	1
T	0.120000 	0.291667 	0.642857 	0	1	0	0	0	1
T	0.120000 	0.375000 	0.091837 	1	1	0	1	1	1
T	0.080000 	0.541667 	0.153061 	0	1	1	0	1	1
